Topic,Count,Name,Representation,Representative_Docs
319,14,319_testing_pomemontcg_rq_grading,"['testing', 'pomemontcg', 'rq', 'grading', 'prediction', 'flex', 'value', 'just', 'v2', 'something']","['Just testing', 'Just testing...', 'Just testing']"
320,14,320_climate_sustainability_carbon_concerned,"['climate', 'sustainability', 'carbon', 'concerned', 'finance', 'sustainable', 'eco', 'adaptation', 'investing', 'funding']","['We are concerned about Sustainability and Climate change in Switzerland', 'A curated digest of climate and sustainability, spotlighting research, adaptation, environmental justice, and the policies shaping carbon and energy futures.', 'The complete enviro / climate change / eco feed.\n\nDM @velichor.co with issues.\n\nenvironmental | sustainable | sustainability | eco-friendly | eco friendly | greenwashing | greensky | ecosky | envirosky | climatesky | climate crisis | climate science | climate politics | climate action']"
321,14,321_httpsawakaricomsubdetailshtmlidwasm_httpsawakaricomsubdetailshtmlidraspberrypi_httpsawakaricomsubdetailshtmlidnewblockchainblocks_httpsawakaricomsubdetailshtmlidmemristors,"['httpsawakaricomsubdetailshtmlidwasm', 'httpsawakaricomsubdetailshtmlidraspberrypi', 'httpsawakaricomsubdetailshtmlidnewblockchainblocks', 'httpsawakaricomsubdetailshtmlidmemristors', 'httpsawakaricomsubdetailshtmlidobservatories', 'httpsawakaricomsubdetailshtmlidnewyork', 'httpsawakaricomsubdetailshtmlidipfs', 'httpsawakaricomsubdetailshtmlidllms', 'httpsawakaricomsubdetailshtmlidfunctionalprogramming', 'httpsawakaricomsubdetailshtmlidfirefox']","['https://awakari.com/sub-details.html?id=wasm', 'https://awakari.com/sub-details.html?id=NewBlockchainBlocks', 'https://awakari.com/sub-details.html?id=cloud-native']"
322,14,322_dimilix_hoursdaily_fandroid_dpwl,"['dimilix', 'hoursdaily', 'fandroid', 'dpwl', 'dmlx', 'deadclwasonly', 'belfort', 'chronos', 'blushyslushie', 'fraldarddyd']","['All things night in the woods with the tag: \n#nightinthewoods\n#nitw', 'A feed for Rifts of Chronos, a fantasy webcomic by @blushyslushie\nHashtag: #riftsofchronos', 'dimilix! dmlx! ﾃﾞｨﾐﾌｪﾘ! ﾌｪﾘﾃﾞｨﾐ! fraldarddyd!!!!! for those who want to keep up with the weekly morning newspaper.\n\nplease tag #dimilix to add to the feed!']"
323,14,323_thoughts_damnthatsinteresting_reframe_realisticbalanced,"['thoughts', 'damnthatsinteresting', 'reframe', 'realisticbalanced', 'reframes', 'noises', 'uve', 'letstryreframing', 'voxexsinister', 'unhelpful']","['My thoughts & other noises~', 'Angry Chango long line of lost thoughts', 'Reframing is a skill taught in Cognitive Behavioral Therapy (CBT) for distress tolerance which involves identifying and replacing unhelpful thoughts with more realistic/balanced ones.\n\nshare reframes u\'ve come up with to avoid messy thought spirals by using the word ""reframe"" or #letstryreframing']"
324,13,324_topic_utc_dec_archived,"['topic', 'utc', 'dec', 'archived', 'longer', '29', 'during', 'again', 'trends', 'added']","['This topic was trending during 29 Dec 24 22:35 UTC. It has now been archived and new posts are no longer added to this topic. If the topic trends again, posts will be added to a new feed.', 'This topic was trending during 29 Dec 24 19:11 UTC. It has now been archived and new posts are no longer added to this topic. If the topic trends again, posts will be added to a new feed.', 'This topic was trending during 29 Dec 24 22:40 UTC. It has now been archived and new posts are no longer added to this topic. If the topic trends again, posts will be added to a new feed.']"
325,13,325_paper_artei_digs_cubedcake,"['paper', 'artei', 'digs', 'cubedcake', 'crepe', 'httpslinktreeweatherchild', 'dragonastra', 'cartalige', 'httpsfliptrucombrcomicweatherchild', 'httpswwwwebtoonscomencanvasweatherchildlisttitleno212227']","[""A collection of everything art related by Artei Nighters.\n\nDigital art, watercolour, paintings, drawings, sketches, children's book illustrations, webcomics and more!"", 'Character design and thumbnail art is mainly drawn by @Dragonastra. Other artists featuring @cartalige, @CubedCake, @heyimjill.', 'a feed for paper art. \n\nimage posts (including replies) only. currently picks up posts about: paper cutting, paper art, paper craft, origami, kirigami, paper marbling, crepe paper flowers, paper engineering, pop up books. feel free to @ me with suggestions of other paper craft mediums to add. 🩷']"
326,13,326_soulfracturesart_teepublic_apparel_nonfurry,"['soulfracturesart', 'teepublic', 'apparel', 'nonfurry', 'lose', 'clutter', 'personally', 'helpful', 'art', 'my']","['All my nonfurry art!\n\nFeed by @soulfractures.art', 'My art Feed! personally helpful for me to not lose track of my art lol', 'My teepublic feed. my art and designs for custom apparel']"
327,13,327_mac_macos_appleedusky_appleedu,"['mac', 'macos', 'appleedusky', 'appleedu', 'ade2023', 'illseries', 'gogglebox', 'geomorphology', 'gpt5', 'goggleboxau']","['Apple Distinguished Educators in EMEIA\n \n#AppleEdu #ADE2023 #AppleEduSky #SharingIsCaring', 'Marshalls posts related to model trains. All scales, gauges and prototypes.  Uses the hashtags #modelrailroad, #modelrailway, #modelrr, #modeltrain, #modeltrains and #modelrailroading. //Made at BlueskyFeeds.com', 'A feed about macOS, using Mac computers, Mac tricks, Mac tips, Mac techniques, things that will increase productivity while using Macs, Mac-related news and rumors, Mac app recommendations, observations about using a Mac.']"
328,13,328_polyamory_phaidei_lovelive_ya,"['polyamory', 'phaidei', 'lovelive', 'ya', 'antique', 'dirias', 'hid', 'flamedei', 'goore', 'loverswhether']","['feed com fotos diárias de Ghost (ghouls, tobias, mary goore etc', 'phaidei posts from the entire network 🧡\n☀️🍷 only\nTags and keywords included: ☀️🍷, phaidei, 厄敌, ファイモス, khasdei, flamedei', 'In a quaint little town where nothing was as it seemed, a seemingly innocent antique shop hid a collection of cursed objects, each with a twisted tale that would unravel the lives of those who dared to take them home.']"
329,13,329_empathy_vtuber_vtubers_mobreimob,"['empathy', 'vtuber', 'vtubers', 'mobreimob', 'respect', 'artvtuber', 'artenvtuber', 'vickilangerbskysocials', 'oldsona', 'mobrei']","['Feed for MobReiMob image posts!\n\nCatches keywords:\nReiMob - 霊モブ - 霊モ - 레이모브 - 灵茂 - 靈茂 -\nMobRei - モブ霊 - モ霊 - 레이모브 - 茂灵 - 茂靈\nReiMobRei - MobReiMob - 霊モブ霊 - モブ霊モブ - 霊モ霊 - モ霊モ', ""A feed for vtubers who are also artists! \r\nVtubers who draw, paint, sculpt, make models, assets, etc! \r\n\r\nJust include '#vartist', '#vtartist' or '#vtuber #artist' in your post!\r\n\r\nmade by @elfyelfears.bsky.social"", 'Imagine a world with empathy. ✨️\r\n\r\n🕐 Like + Save + Pin to Practice Empathy\r\n🕑 Repost + Share to Spread Empathy\r\n🕒 Contribute Using Hashtag #Empathy \r\n🕓 Empathy Algorithm by @jillyannedawn\r\n🕔 Be Kind, Respect, Create 🌎💗🙏']"
330,13,330_wkds_ocassional_bullshit_warned,"['wkds', 'ocassional', 'bullshit', 'warned', 'happens', 'artwork', 'none', 'destiny', 'guess', 'shenanigans']","['Just the Art! None of the Shenanigans!', 'my art! art by me. from the times ive done art. that happens sometimes.', ""All my art in one place without the bullshit too c:\nOcassional 18+ YOU'VE BEEN WARNED!""]"
331,13,331_politics_crore_azadi_imprisoned,"['politics', 'crore', 'azadi', 'imprisoned', 'pakistanis', 'militaryled', 'nonrepublicans', 'haqiqi', 'imran', 'states']","['My personally filtered news feed with as little United States politics as possible.', 'A curated feed of the latest posts from the nation’s leading newsrooms. \n\nTimely, trusted reporting on the stories shaping our world - politics, climate, justice, and beyond. \n\nStay informed, inspired, and ready to act.', 'Imran Khan, leader of 24 crore Pakistanis, is imprisoned for standing against corruption, not for any crime. His detention is a military-led conspiracy, not a legal issue. Haqiqi Azadi is the fight for justice, democracy, and freedom from oppression.']"
332,13,332_abdl_vendorartist_swans_peasants,"['abdl', 'vendorartist', 'swans', 'peasants', 'woodys', 'filmcollective', 'httpsbestabdlcom', 'httpsminiboothbuddiescom', 'httpstrashllamacomswanindex', 'httpsblueskyfeedcreatorcomphamsterartscomminiboothbuddydonate']","['The most beautiful people of BlueSky. From models, to cosplayers, to content sellers, and everyone in between, these are the beautiful people of BlueSky.', 'Celebrate the highs, discuss the lows, and share the passion of the Black Cats community. Wear your red and white with pride and join the conversation!\n\nBlueskyFeedCreator.com', 'Collective group of Bluesky artists utilizing film.\n\n#filmcollective \n\nComment to be added to the feed list (film creators only).']"
333,13,333_volunteers_reflections_addchristianwomanblogger_blogdevotionalwritten,"['volunteers', 'reflections', 'addchristianwomanblogger', 'blogdevotionalwritten', 'christianwomanblogger', 'christianblog', 'calculus', 'epn2025', 'fromsaltydogfellabskysocial', 'algebra']","['A algorithm showcasing Christian Woman Bloggers – their blog post/devotional links and faith filled written reflections.\n\nUse #AddChristianWomanBlogger at least once to add yourself. \n\nUse #ChristianWomanBlogger or #ChristianBlog in your blog/devotional/written reflections Bluesky posts.', 'Find the post in my feed for Volunteers Feed \n\nSearch: from:saltydogfella.bsky.social ""Volunteers Feed""\n\nand if you follow me, reply to that post to join. You get added to the starter pack, this image opens the pack and to the feed is \'Volunteers Feed\'', 'every post mentioning the Torah, Talmud, Midrash, Parashat, Tanakh, Tehillim, Siddur, Zohar and Pirkei Avot (if you have any suggestion, please tell me!)']"
334,13,334_avatar_artists_nsfw_artnsfw,"['avatar', 'artists', 'nsfw', 'artnsfw', 'offends', 'squeezablebskysocial', 'atmunfortunately', 'avatarsky', 'mani', 'atlasky']","['NSFW (and Risque, bot not strictly NSFW) Artists I follow', 'Media posts from Artists I follow on this account. Almost entirely NSFW!\r\n\r\nApologies if a post offends in some way. This feed is NOT an endorsement of any post that might show up here.\r\nI follow when I come across a post with nice art, have not vetted most accounts.', ""For all things Avatar! Use #ATWOW or #AvatarSky to add a post 💙🌊\n\nJUST SO YOU KNOW THIS IS BLUE KITTY AVATAR NOT ELEMENTAL COOL KIDS AVATAR. The tag you're looking for is #atlasky\n\nUPDATE: Folks been sneaking slop into the feed. Excluded as mani AI tags as I could find!""]"
335,13,335_bara_typically_warcraft_profile,"['bara', 'typically', 'warcraft', 'profile', '3d', 'very', '18', 'gay', 'hrny', 'ak0']","['A feed of Vulpera from my profile; I create 3D fan ""art"" of World of Warcraft OCs. Content is typically 18+, NSFW, bara, and very gay.', 'A feed of Goblins from my profile; I create 3D fan ""art"" of World of Warcraft OCs. Content is typically 18+, NSFW, bara, and very gay.', 'A feed of Humans from my profile; I create 3D fan ""art"" of World of Warcraft OCs. Content is typically 18+, NSFW, bara, and very gay.\r\n\r\nAlso includes creations by ak0.']"
336,13,336_eileen4everbskysocials_cassaulus_aviva_deersocial,"['eileen4everbskysocials', 'cassaulus', 'aviva', 'deersocial', 'chromatowskibskysocial', 'beardeddragonnbskysocial', 'eitmonlinebskysocial', 'roryaulus', 'parkster00bskysocial', 'twosensebskysocial']","['New about deer.social from Aviva herself', '#MEspine conversation. Send feed ideas to @chromatowski.bsky.social.', 'Posts about Forward Madison FC\r\n\r\nFeedback → DM @fullmingo-feed.bsky.social']"
337,13,337_malaysia_skin_acne_acnetreatment,"['malaysia', 'skin', 'acne', 'acnetreatment', 'csmrelated', 'clearer', 'addtomalaysia', 'csmchapter', 'chainsawcentric', 'metaanalysis']","['Welcome to AcneTreatment! A supportive space for sharing tips, treatments, and advice on managing and reducing acne. Let’s work together to find solutions and achieve clearer, healthier skin!', 'A feed of all posts related to Malaysia! All posts related to Malaysia will be displayed within here.', 'An algorithm showcasing posts on Malaysia.\nUse #addtomalaysia at least once to add yourself.\nUse #malaysia to add only a single post.']"
338,13,338_emma_demons_strong_speculative,"['emma', 'demons', 'strong', 'speculative', 'electrotorture', 'bulking', 'exjock', 'choking', 'feederism', 'gainerart']","['this feed collects the skeets where jake tapper promotes his new book ALL THE DEMONS ARE HERE in case you miss one of them, allowing you to stay up to date with any exciting ALL THE DEMONS ARE HERE news', 'Finds most recent original posts with tags relevant to male gainers. Irrelavant tags filtered out. Created with skyfeed.app\n#gainer #grommr #bulking #exjock #feedee #feeder #feederism #forcefeeding  #gainerart #gaygainer #weightgain', ""Only the strong. Men bound, beaten, shrieking; made to submit. Wither it's Gut Punching, Choking, Ball Bashing, CBT, Electrotorture, or Extreme Discipline, only the best make it into this feed. \r\nThink you deserve to be include in this feed MAGGOT? post with #MBBA & see if you're strong enough!""]"
339,13,339_warcraft_azeroth_blizzard_world,"['warcraft', 'azeroth', 'blizzard', 'world', 'carbuncle', 'communitymade', 'gameugcpicks', 'gamerglow', 'machinimators', 'heroic']","['✨ Unearthing gems in the gaming world.\n#GameUGCPicks | #GamerGlow | #PureGamingCommunity\nOnly the game moments that make your heart race.\n\n Currently focusing on Minecraft and WUCHANG: Fallen Feathers (more worlds coming soon!).\n\n🌟 How to get your work noticed?\nAdd the tag: #Bestgame on your post', 'Step into Azeroth through art! From stunning landscapes to heroic fan pieces, this feed showcases the creative heart of the «WarCraft» and «World of Warcraft» community!\r\n\r\nUnofficial and not by Blizzard.\r\n\r\nPowered by Graze.social.', 'Relive the battles, stories, and legends of «WarCraft» and «World of Warcraft» through epic videos, cinematics, and fan creations. Immerse yourself in the world of Azeroth!\r\n\r\nCommunity-made, not affiliated with Blizzard.\r\n\r\nPowered by Graze.social.']"
340,13,340_orc_ocs_mlp_mlpg4,"['orc', 'ocs', 'mlp', 'mlpg4', 'nina', 'mlpoc', 'maxlike', 'mlpg5', 'ponysona', 'stellateral']","[""Art, lore and fun facts for the orcest orc, who isn't even an orc, Nina!"", 'Focus is my main story, Stellateral! a story set in a fantasy 1990s ⭐️ all ocs take Place in this same universe unless otherwise stated\n\nwe got Space pirates, evil queen obsessed with god (in love), and many homosexual activity.', 'MLP OCs and Ponysonas are pretty cool! This contains everything tagged with #mlpoc and #ponysona\n\nTags for SEO: mlp, my little pony, mlpg4, mlpg5, friendship is magic, a new generation, tell your tale, make your mark']"
341,12,341_tennis_wta_atp_tenis,"['tennis', 'wta', 'atp', 'tenis', 'match', 'performances', 'tournament', 'open', 'highlights', 'gauff']","['A curated tennis feed delivering quality content— with no off-topic posts or spam.\r\n\r\nGet the latest on players, live updates, and major events like the upcoming US Open from the ATP & WTA tours.', ""curated feed. women's tennis."", 'Tennis, tenis, WTA, ATP. Displays the last seven days.\nPS: Add tennis, tenis, WTA, ATP to your posts, so I can find you easier. If questions, ask @podolniksr.bsky.social, like if you like.']"
342,12,342_renders_filmmaker_source_featuring,"['renders', 'filmmaker', 'source', 'featuring', 'characters', 'bandicoot', 'crash', 'knackxeno', 'barnyard', 'precisely']","['My Source Filmmaker renders featuring characters from Super Mario.', 'My Source Filmmaker Renders featuring characters from Sonic the Hedgehog.', 'My Source Filmmaker renders featuring characters from Pokémon.']"
343,12,343_retro_gaming_retrogaming_consoles,"['retro', 'gaming', 'retrogaming', 'consoles', 'computing', 'gamesgaming', 'hersheyfonts', 'firmwares', 'grew', 'offgame']","['Everything about retro gaming\r\n\r\nAnyone can use #retroGame #retroGames or #retroGaming to add relevant posts', 'A thread about retro gaming, modding, retro game consoles and so on :D', 'Posts about retro gaming. Automatically picks up text & tags that mention retro game(s)/gaming, as well as a handful of old gaming consoles, DOS gaming, and arcade stuff.']"
344,12,344_specializes_diesel_firm_labs,"['specializes', 'diesel', 'firm', 'labs', 'analytics', 'intelligence', 'data', 'big', 'live', 'disney']","['Live feed for the BET Awards 2025\n\nFeed curated by Diesel Labs, a content intelligence firm that specializes in big data & analytics', 'Live feed for Old Navy\n\nFeed curated by Diesel Labs, a content intelligence firm that specializes in big data & analytics', 'Live feed for The Last of Us (season 2)\n        \nFeed curated by Diesel Labs, a content intelligence firm that specializes in big data & analytics']"
345,12,345_insta_bbr_imagens_hardsurce,"['insta', 'bbr', 'imagens', 'hardsurce', '3dias', 'mid2024', 'picaday2025', 'picaday2023', 'propper', 'metalworking']","['Just my #picaday2023 Insta posts!', 'Just my #picaday2025 Insta posts!', 'Super broad definition of Makers: woodworking, blacksmithing, metalworking, 3dprinting, single board computers, etc.']"
346,12,346_hits_greatest_burrito_buttholes,"['hits', 'greatest', 'burrito', 'buttholes', 'ditchponys', 'garys', 'burritos', 'blathering', 'travis', 'gary']","[""ditchpony's greatest hits"", 'greatest hits', 'greatest hits']"
347,12,347_poomsae_martial_taekwondo_karate,"['poomsae', 'martial', 'taekwondo', 'karate', 'bjj', 'oss', 'brazilian', 'devoted', 'di', 'spritital']","['BJJ Club – Your daily roll of Brazilian Jiu-Jitsu highlights, techniques, memes, and community vibes. Tag #bjjclub to be featured on the feed. Oss!', ""A Feed devoted to Taekwondo Poomsae.  Whether it's technical aspects of Poomsae execution or posts about Poomsae Competitions we welcome it all."", 'Waktu Indonesia bagian Bluesky.\nPost and replies from Indonesian language.\nTulis di post kalian dengan #private atau #nofeed agar tidak ditampilkan di feed ini.\n\n• No NSFW\n• No judi online\n• No selling/wts\n• No autobase\n• No roleplayer\n• No affiliate accounts\n• No mutual-things\n• No spam']"
348,12,348_actress_searches_name_mention,"['actress', 'searches', 'name', 'mention', 'last', 'days', 'laxia', 'lacrimosa', 'nikke', 'roswell']","[""This feed searches for posts that mention the actress' name in the last 7 days."", ""This feed searches for posts that mention the actress' name in the last 7 days."", ""This feed searches for posts that mention the actress' name in the last 7 days.""]"
349,12,349_blueskyfeedscom_pera_bobber_epiphanies,"['blueskyfeedscom', 'pera', 'bobber', 'epiphanies', 'europapark', 'nlss', 'rpms', 'made', 'daytoday', 'racer']","['Cafe Racer & Bobber Custom', 'Music people posting pictures of singles of all shapes, sizes and RPMs. Not a dating forum // Made at BlueskyFeeds.com', 'Nice folks from the NLSS orbit, including friends of Justin and Apollo and cool community folks. //Made at BlueskyFeeds.com']"
350,12,350_ocxcanon_oc_ocs_him,"['ocxcanon', 'oc', 'ocs', 'him', 'ben15', 'darkwing', 'arts', 'fanarts', 'typemoon', '2014']","['Artists who publish art involving Type-Moon properties (primarily Fate)\nThis includes OCxCanon, Canon only, Official Artists, and NSFW Artists.', 'Containing my yumeships, ocxcanon, and oc arts! Occasionally me with my faves.', 'Here are some arts and concept about my BEN10 OC : Ben15, I created him on tumblr since 2014, I hope you like him!💙']"
351,12,351_fresco_adobe_drifterxamir_figurines,"['fresco', 'adobe', 'drifterxamir', 'figurines', 'lovewinart', 'repliesgifsother', 'httpswwwetsycomshopthebeastboutique', 'delve', 'beast', 'boutique']","['Warframe AND Soulframe content! I cross the two over *very* heavily. Includes DrifterxAmir ship art (⚡🐺).', 'Place to go to see my artwork only! Since I doubt I will make a secondary account anytime soon.\nposts will be marked with ""#lovewinart""', 'A place to learn watercolor techniques, color balance, and beautiful composition using Adobe Fresco.\n\nAdobe Fresco を使用して、水彩技法や色彩バランス、美しい構図を学んでいく場所']"
352,12,352_authors_proofreaders_klance_writers,"['authors', 'proofreaders', 'klance', 'writers', 'variant', 'refining', 'omegaverse', 'vs', 'writer', 'editors']","['tracks hashtags for writers and authors, focusing on the plural variant, ""authors"", ""writers"" vs ""author"", ""writer""', 'tracks hashtags for writers and authors, focusing on the single variant, ""author"", ""writer"" vs ""authors"", ""writers""', 'Posts by editors & proofreaders, for editors & proofreaders. Captures posts from the last 7 days with hashtags #AmEditing, #edibuddies, #Copyediting, #AmCopyEditing, #AmProofreading, #EditorSky, by non-authors (even though we love our authors!). Very loosely moderated.']"
353,12,353_artnft_tea_artonchain_bobatea,"['artnft', 'tea', 'artonchain', 'bobatea', 'looseleftea', 'milktea', 'mfdoom', 'manifold', 'generativeartonchain', 'herbaltea']","[""Make sure you're using all caps when you spell this mans name, please and thank you! #MFDOOM"", 'Curated feed. \r\nActive hashtags: #artonchain, #digitalartonchain, #objkt, #superrare, #ninfa, #transientlabs, #artnft, #obscura, #photographyonchain, #manifold, #objk, #genartonchain, #artnft, #generativeartonchain, #nftart\r\n\r\nLMK if missing significant ones\n\nBlueskyFeedCreator.com', 'Posts that contain the following hashtags and other types of teas too long to list: teasky tea chai teatime looseleftea tealovers sencha matcha boba bobatea bubbletea milktea yerbamate herbaltea\n\nIncludes all posts from accounts identified as indie tea sellers that primarly post about tea.']"
354,12,354_narrative_beautiful_nature_exist,"['narrative', 'beautiful', 'nature', 'exist', 'beauty', 'earth', 'discerned', 'httpsbeautyofnaturepage', 'recognize', 'positively']","['Beautiful things still exist in this world come and see', 'All about nature eg. animal, plants, landscape. Just relax your minds with these beautiful things that exist on earth', 'Beauty is hard to define but easy to recognize. In nature, beauty may be discerned in all things and places, even in the most unexpected regions of the earth.\n\nShare beautiful photos of nature. The beauty of nature positively impacts your mind, body and soul.\n\nhttps://beautyofnature.page']"
355,12,355_adoptables_sold_adopts_httpstoyhousepotatosheepcharactersfolder4080701,"['adoptables', 'sold', 'adopts', 'httpstoyhousepotatosheepcharactersfolder4080701', 'httpsychcommishescomuserpotatosheeps', 'httpskoficomwolfusimagiusshop', 'unsold', 'ghouliisch', 'avaliable', 'claimed']","['Like adoptables?? Follow to stay up to date with the cuties I have to offer! ♥', 'Where to find my adoptables, both sold and unsold', 'This is where all of my adoptables can be seen.']"
356,12,356_hytale_httpsenofeedscarrdco_mega64_httpsbskyappprofiledidplc4yxma22dnuidplec7x2ogvv5feedaaanfyz23cmbo,"['hytale', 'httpsenofeedscarrdco', 'mega64', 'httpsbskyappprofiledidplc4yxma22dnuidplec7x2ogvv5feedaaanfyz23cmbo', 'product', 'faq', 'necessarily', 'handle', 'profiles', 'bigchill']","['Queue to remove custom handles. Used in case the user wants to switch to a different custom handle or back to a .bsky.social handle.', 'A mix of Hytale tags and Hytale community members\n\n\nUser list:\nhttps://bsky.app/profile/did:plc:nblqefnc2qwy7nt5misrkuqs/lists/3l3gt57rnd724\n\nTags:\n#Hytale #HytaleFanart', ""A feed of posts from people who used to post bitd on PHP BB music forums - Overload, LittleDetroit, Disception, NoFuture (erutufon), BigChill, WATMM, Goya, DJHistory etc.\n\nIt's a subscription list so if you want to be included or know of Bsky users who should be, let me know and I can add.""]"
357,12,357_unity_consciousness_exercises_eunoia,"['unity', 'consciousness', 'exercises', 'eunoia', 'applying', 'interconnectedness', 'principles', 'courses', 'embracing', 'wisdom']","['Discuss applying unity consciousness principles in professional settings and ethical business practices.', 'Discover the path to a harmonious world with our Unity Consciousness feed. Explore daily insights on compassion, interconnectedness, and peace-building. Join a community dedicated to transforming lives through the wisdom of ""Living Unity: Embracing the Eunoia Way', 'Share insights and excerpts from our ""Living Unity: Embracing the Eunoia Way"" e-book, offering daily wisdom on unity consciousness.']"
358,12,358_thai_kain_deadsun_darkprophecy,"['thai', 'kain', 'deadsun', 'darkprophecy', 'cpf', 'mermaids', 'soulreaver', 'mythics', 'thaibl', 'wenzhejunzhe']","['A curated Muay Thai feed', 'A highly personalised feed which displays a (not really) wide range of Thai people on Bluesky.\n\nℹ️ Not recommended for strangers to follow since it’s muted several keywords to secure my mental health.', 'A feed collating Legacy Of Kain related posts. To show up in this feed use #legacyofkain, #bloodomen, #soulreaver, #soulreaver2, #bloodomen2, #nosgoth, #deadsun, #darkprophecy, #raziel or #kain // Made at BlueskyFeeds.com']"
359,12,359_phish_mecfs_accessibility_docascode,"['phish', 'mecfs', 'accessibility', 'docascode', 'asciidoc', 'asciimath', 'dita', 'mathml', 'pastry', 'pretextbook']","['A feed to feed your inner chef. \n(Tag : Illustration / Art with Vegetable, Fruit, food, Pastry, Bakery, Cuisine, cook)', 'ME/CFS #MECFS awareness.\n\nSearches for #MEAwarenessHour #MEAwarenessDay #MEAwarenessWeek #MEAwarenessMonth #SevereMEDay #MillionsMissing in posts and replies', 'This is a feed about technical writing, semantic markup languages, documentation formats, and scholarly documents.\nSome of the Tags:\nasciidoc, asciimath, markdown, bookdown, lualatex,  lyx, pretextbook, tex, dita, docbook, mathjax, mathml, typst, texlatex (but not latex), unicodemath, docascode']"
360,12,360_internalonly_error_experienced_inner,"['internalonly', 'error', 'experienced', 'inner', 'internal', 'circle', 'server', 'who', 'people', 'have']","['Internal-Only', 'The inner circle.', 'People who have experienced the Internal Server Error']"
361,12,361_humor_aiartstablediffusionmidjourneydallenovelaiaiaiartainijijourney_kawarimidoll_socio,"['humor', 'aiartstablediffusionmidjourneydallenovelaiaiaiartainijijourney', 'kawarimidoll', 'socio', 'specify', 'sweetbeevips', 'funny', 'distru121', 'quieter', 'humorous']","[""Want something easier to understand how much I improved? There here it is! 1 post per month so you don't have to drag it all down!\n(ﾉ´ヮ`)ﾉ*: ･ﾟ"", 'Humor: Users that frequently post humorous content. Only the good ones.', 'People with a unique sense of humor (usually contains socio political commentary, controlled by my list)']"
362,12,362_music_feeds_baltimores_seattle,"['music', 'feeds', 'baltimores', 'seattle', 'minneapolis', 'houston', 'berlin', 'nyc', 'synth', 'boston']","['DC Music Feeds', 'Chicago Music Feeds', 'Seattle Music Feeds']"
363,11,363_architecture_eventdriven_architectures_glow,"['architecture', 'eventdriven', 'architectures', 'glow', 'driven', 'blacklight', 'nyagi', 'eventdrivenarchitecture', 'studioteabreak', 'webkinz']","['Posts about Event-Driven Architectures.\r\n\r\nFilters by the hashtags #EDA, #eventdrivenarchitecture, and the words ""Event-Driven Architectures"", ""Event-Driven Architecture"", ""Event Driven Architectures"", and ""Event Driven Architecture"".', 'Architecture posts on Bluesky, from Architects all around the world!\nThis feed displays posts containing the words: architecture & #architecture.', 'Posts related to architecture and containing the #architecture tag']"
364,11,364_digimon_renamon_appearing_pumspread,"['digimon', 'renamon', 'appearing', 'pumspread', 'vol1', 'lotura', 'homm', 'guilmon', 'koko', 'longeared']","['The fox digimon, Renamon.', 'The blue dragon digimon, first appearing in Digimon Adventure 02.', 'The long-eared dog digimon, first appearing in Digimon Tamers alongside Guilmon and Renamon.']"
365,11,365_robinfeed_nostrfeed_cnovels_qud,"['robinfeed', 'nostrfeed', 'cnovels', 'qud', 'test2', 'ngl', 'cave', 'rffa', 'wonders', 'review']","['robinfeed.\n\n⚡ RobinFeed', '⚡ RobinFeed', 'robinfeed\n\n⚡ RobinFeed']"
366,11,366_naturism_nudism_nudist_naturist,"['naturism', 'nudism', 'nudist', 'naturist', 'naturists', 'naked', 'naturismnudism', 'hike', 'aress', 'blacknudists']","[""You only need to use one of the following hashtag's: nudist, nudists, nudism, naturist, naturists, or naturism. I'll add users and I'll block users, as needed. True nudism is body positive and family safe; free from sex, porn, and exhibitionists. No dic pix, no erections, no erotica, no sex- period."", 'The most popular posts about naturism in the last seven days. To show up in this feed, you must use terms related to Naturism. Terms related to nudism are not included.', 'The most recent posts about naturism. To show up in this feed, you must use terms related to Naturism. Terms related to nudism are not included.']"
367,11,367_cosmic_interventions_spirituality_universe,"['cosmic', 'interventions', 'spirituality', 'universe', 'soul', 'eunoiacommunity', 'httpswwwsouthernfriedsciencecomp55232', 'intrinsically', 'interventionoptimization', 'cosmicvibes']","['The profound realization that all beings and elements in the universe are intrinsically linked, forming a vast web of mutual influence and shared existence.', 'A feed for research and discussion on optimizing interventions. Topics include methods for developing efficient, effective, and scalable interventions (SMART, MRT, factorial designs) in behavioral science, public health, and digital health. Use #InterventionOptimization to contribute.', 'Explore sacred music, mantras, and spirituality for your inner journey. Cosmic vibrations for the soul and universal harmony.\n\n#SamavedaMusic #SacredSounds #MantraHealing #SpiritualAwakening #CosmicVibes #MeditationMusic']"
368,11,368_photography_amphibians_wildlifephoto_wildlife,"['photography', 'amphibians', 'wildlifephoto', 'wildlife', 'naturalists', 'bird', 'birds', 'reptiles', 'virtualphotography', 'wildlifephotography']","['Wildlife photography feed using hashtags.\n\nPost to the feed with: #wildlifephotography #wildlifephoto', 'Photos of small birds. Regex based, searches post text for ""bird"" AND ""photo"", then for various small bird species names (with some blacklisted terms). Birding, birdwatching.', 'Nature photography collected from the Birds, Mammals, Reptiles & Amphibians, Fungi Friends, Marine Life, and Naturalists feeds.']"
