Topic,Count,Name,Representation,Representative_Docs,Total_Likes,Average_Likes
366,14,366_altc24_altc_elgarook_doommetalsky,"['altc24', 'altc', 'elgarook', 'doommetalsky', 'altcradio', 'altcradio24not', 'elgarnan', 'earthworm', 'popcluster', 'osprey']","['Feed for Golden Sun over the past 7 days. Includes posts tagged with #GoldenSun, #黄金の太陽, #GoldenSunTheLostAge, #GoldenSunDarkDawn.\n\nExludes reposts.', 'V-22 Osprey and variants feed.\nThe picture shows MV-22 flying to the Air Self-Defense Force Komaki Base in support of the Ise-Shima Summit.\nThis feed will be deleted as soon as the need for the producer is resolved.', '#ALTC24 Annual Conference. This should capture all the posts that use #ALTC, #ALTC24, #ALTcradio and #ALTcRadio24.Not case sensitive.']",157,11.21
367,14,367_robinfeed_cnovels_nostrfeed_chronfeed,"['robinfeed', 'cnovels', 'nostrfeed', 'chronfeed', 'test2', 'qud', 'rffa', 'cave', 'wonders', 'iphone']","['robinfeed.\n\n⚡ RobinFeed', 'robinfeed\n\n⚡ RobinFeed', '⚡ RobinFeed']",11,0.79
368,14,368_actress_searches_name_mention,"['actress', 'searches', 'name', 'mention', 'kate', 'crane', 'last', 'days', 'nori', 'gina']","[""This feed searches for posts that mention the actress' name in the last 7 days."", ""This feed searches for posts that mention the actress' name in the last 7 days."", ""This feed searches for posts that mention the actress' name in the last 7 days.""]",26,1.86
369,14,369_assassins_creed_ffxivwrite_fuwa,"['assassins', 'creed', 'ffxivwrite', 'fuwa', 'shadows', 'ffxiv', 'ffxivwriting', 'ffxivfanfic', 'convencience', 'illusionist']","[""Step into the shadows and uncover the secrets of the Brotherhood. Follow us for the latest updates, epic adventures, and behind-the-scenes insights from the world of Assassin's Creed. 🗡️⚔️ Dive into history and shape your legacy!"", 'A feed for FFXIV fanfiction inspired by the yearly ffxivwrite challenge!\n\nPicks up anything containing:\nffxivwrite | ffxivfanfic | ffxivwriting | ffxivfiction| ffxivwriters', 'Assassins Creed Shadows related']",69,4.93
370,14,370_dupuytrens_cpfc_wlferhampton_housewives,"['dupuytrens', 'cpfc', 'wlferhampton', 'housewives', 'anybody', 'rhod', 'rhonj', 'bravotv', 'million', 'contracture']","['For posts about the EU, Brexit, rejoining, Single Market, Freedom of Movement and hopeful inspiring content about Europe\n\nBlueskyFeedCreator.com', 'All BlueSky content relating to CPFC. Not a curated list so it will pick up any mention of CPFC and a few journalists too.', 'skeets mentioning following: bravotv | project runway | housewives | real housewives | below deck | vanderpump | RHOC | RHONY | RHOA | RHONJ | RHODC | RHOBH | RHOM | RHOP | RHOD | RHOSIC | RHUGT | RHODUBAI | top chef | summer house | million dollar listing\n\nping @jakei.bsky.social for filter changes']",223,15.93
371,14,371_atomland_cleaners_changeshappenings_httpsslushienovaneocitiesorggalleryartarchive,"['atomland', 'cleaners', 'changeshappenings', 'httpsslushienovaneocitiesorggalleryartarchive', 'ippotsks', 'entails', 'withered', 'personified', 'pipe', 'hopes']","[""🖌️🎨 This is where you'll find my drawings (and some other visual art) stuff. I plan on doing a separate feed for TTRPG related writing or general work, so look forward to that!"", 'A personal feed serving as a portfolio for my artwork. I primarily work with pipe cleaners to build a variety of figures inspired by horror, fantasy, and pop culture.', 'Art and written material of my project, Chronicles Of Atomland! It entails the lives of personified chemical elements, and the changes/happenings in their town.']",44,3.14
372,14,372_skeeted_imagen4_datasets_tid,"['skeeted', 'imagen4', 'datasets', 'tid', 'snorktwixer', 'moominvalley', 'icm', 'pics', 'hugging', 'images']","['Pictures from Moominvalley\n\nBy Snorktwixer', 'all the pics ive skeeted', 'pics Tid skeeted']",62,4.43
373,14,373_mens_astroaura_liberation_httpsstrongwomenstrangeworldsweeblycom,"['mens', 'astroaura', 'liberation', 'httpsstrongwomenstrangeworldsweeblycom', 'mensliberation', 'happensbringing', 'quickreads', 'sensemaking', 'swswqr', 'technoblade']","['This curated feed consists of accounts providing great space content, with an emphasis on news, policy, and exploration. If you belong here, contact me.', ""Use the hashtag #SWSWQR when posting about Strong Women - Strange Worlds QuickReads, and you'll find your post in this feed! Great for keeping track of all of the SW-SW authors and QR events happening, so you won't miss any. Learn more about what we do at https://strongwomenstrangeworlds.weebly.com/"", 'This is where the magic happens—bringing together thoughtful conversations, and inspiring content to help you align with the stars and your highest self.\n\nUse the hashtag #AstroAura on your posts to get featured.\n\n#AstroAura #astrology #spiritual #tarot #Bluesky #BlueskySocial']",316,22.57
374,13,374_opera_music_feeds_seattle,"['opera', 'music', 'feeds', 'seattle', 'operas', 'newcomers', 'chicago', 'performers', 'minneapolis', 'composers']","[""What's new in new opera?"", 'opera news', 'A feed for opera lovers - fans, artists, newcomers, all are welcome and a variety of composers, operas and performers historical and contemporary are included as keywords. Too many regex terms to list here, but posts with the word opera will show up']",93,7.15
375,13,375_ovaettr_zines_denton_confetti,"['ovaettr', 'zines', 'denton', 'confetti', 'yimings', 'kellie', 'nicelys', 'ziinnias', 'believeinpens', 'throws']","['Art by ziinnias | character illustration & comics', ""(points at my art) It's nothing but that. (throws confetti)"", 'Feed for #art posts by Orion Fern, independent artist running Ovaettr Art!\n\nIllustration, Motion Graphic Design, Zines, Comics\n\nOvaettr Art & Zine Distro is a Trans, Queer & Disabled Owned Art, Zines & Mutual Aid Pop-Up based in Denton, TX']",36,2.77
376,13,376_pikmin_bloom_englishjapanese_postfeed,"['pikmin', 'bloom', 'englishjapanese', 'postfeed', 'wifenetontr', 'siha', 'sortnorepostnoreplay', 'gawrgura', 'limit200', 'akiba']","['アキバ|akiba|秋葉原\nlimit200 , 3days, sort by creation date.\nRemove if like count < 5.\n\nthis is test feed sorry.', 'Pikmin Bloom posts but only photos\nピクミンブルーム', '過去7日間に Pikmin Bloom|ピクミンブルーム が含まれる日本語/英語postをあつめたfeedです。\n\nThis feed collects posts containing Pikmin Bloom (in English/Japanese) in the last 7 days.']",30,2.31
377,13,377_pokemon_pokmon_giveaways_avertai,"['pokemon', 'pokmon', 'giveaways', 'avertai', '3p', 'aokaao', 'brunotknk', 'httpsbskyappprofiledidplcv5epreludxlo6ohf6q43zm2hfeedaaalq2x6ehrqc', 'pokemonpkmnpla', 'pokemonmysterydungeon']","[""My first feed! I'm creating this feed to do Pokemon giveaways here as well as let other Pokemon trainers hosts their own giveaways & trades.."", ""Your one-stop shop for all things Pokemon. If you run an account that only posts Pokemon content, @ me and I'll add you. Simply throw in the tag #pokemon for your post to appear in the feed!"", 'Pokemon Feed - posts containing pokemon or pokémon']",1205,92.69
378,13,378_topic_utc_dec_archived,"['topic', 'utc', 'dec', 'archived', '29', 'longer', 'during', 'again', 'trends', 'added']","['This topic was trending during 29 Dec 24 22:35 UTC. It has now been archived and new posts are no longer added to this topic. If the topic trends again, posts will be added to a new feed.', 'This topic was trending during 29 Dec 24 19:11 UTC. It has now been archived and new posts are no longer added to this topic. If the topic trends again, posts will be added to a new feed.', 'This topic was trending during 29 Dec 24 22:40 UTC. It has now been archived and new posts are no longer added to this topic. If the topic trends again, posts will be added to a new feed.']",153,11.77
379,13,379_daddy_inflation_nsfw_pool,"['daddy', 'inflation', 'nsfw', 'pool', 'lotta', 'gmpd', 'nsfwgmpdnsfw', 'fatale', 'balloons', 'dani']","['every image collected of the cryptid known as ""dani"" \n\na lotta nudes, occassional shitpost', 'CAUTION: NSFW Contents. Chubby, Daddy, Daddy and GMPD. Photo selection from numerous posts. Reposts, replies, and without NSFW label are hidden.\n注意: NSFWコンテンツ。太目、熊、パパ、GMPD。数多のポストから選りすぐった写真です。リポストやリプライ、NSFWラベルの無いものは非表示です。', 'NSFW 🔞\nFeatures inflatables, balloons, pool toys & inflation content. Not economic inflation (mostly). For squeaky pool toy furs.']",193,14.85
380,13,380_haiku_haikufeels_poetry_prompts,"['haiku', 'haikufeels', 'poetry', 'prompts', 'haikudraft', 'andere', 'haikuwerkbank', 'haikuwb', 'hol', 'haku']","['Really simple, just looks for ""haiku"" anywhere in the post or image alt text. Might get a bit cluttered since there are other subjects than poetry (i.e. software and characters named Haiku), but should catch folks who didn\'t use a hashtag.', 'haiku replies to the #haikufeels poetry prompt', 'Discover the tiny, yet powerful Haiku OS. Not affiliated with Haiku Inc.']",180,13.85
381,13,381_threads_thread_wlferhampton_compromised,"['threads', 'thread', 'wlferhampton', 'compromised', 'drunken', 'irreverent', 'spacewaste', 'threadsdrabblesbrainrot', 'wlfhelm', 'stupor']","[""my hero threads/drabbles/brainrot of mine. the thread of threads except it's a feed. strongly compromised of krbk - best of luck\n\npic by spacewaste!"", 'a thread of my threads', ""A feed of the irreverent, profane and unhinged ramblings of the folk from the imaginary medieval settlement of Wülferhampton.\r\n\r\nWülferhampton is ruled over by a psychopathic despot Bretwalda called Wülfhelm. He's bad tempered, acerbic, insulting and spends most of his time in a drunken stupor.""]",328,25.23
382,13,382_keller_alex_siren_melody,"['keller', 'alex', 'siren', 'melody', 'deadly', 'duty', 'leia', 'ruled', 'overrun', 'sigmori']","['A feed dedicated to Alex Keller from Call of Duty.\nWILL CONTAIN SHIPS.\nTo make sure posts show up here put one of these keywords;\nCOD Alex Keller\nAlex Keller COD\nCall Of Duty Alex Keller // Made at BlueskyFeeds.com', ""A kingdom ruled by a deadly siren. A court overrun with enemies. If Melody wants to keep her throne, she'll have to rely on the one human who doesn't die at the sound of her singing.\n\nUpdates: Fridays (WP), Saturdays (Tumblr).\n\nCheck the comments for missing posts in the prologue."", ""Meet the characters from my new SimLit, releasing 8th February. \n\nStory blurb: A kingdom ruled by a deadly siren. A court overrun with enemies. If Melody wants to keep her throne, she'll have to rely on the one human who doesn’t die at the sound of her singing.""]",28,2.15
383,13,383_order_chronological_loreheadcanon_assorment,"['order', 'chronological', 'loreheadcanon', 'assorment', 'mine', 'arranged', 'egm', 'anyways', 'ascending', 'reposts']","['My SFW art posts in chronological order', 'All of your posts in chronological order :)', 'My posts in chronological order.']",452,34.77
384,13,384_embed_minimal_iso_setting,"['embed', 'minimal', 'iso', 'setting', 'photography', 'cafe', 'primarily', 'website', 'f28', 'photozines']","[""A feed featuring my landscape photography. I'm primarily setting this up to embed on my website."", ""A feed featuring my street photography. I'm primarily setting this up to embed on my website."", ""A feed featuring my photography. I'm primarily setting this up to embed on my website.""]",52,4.0
385,13,385_migration_chainsaw_chainsawman_eliminate,"['migration', 'chainsaw', 'chainsawman', 'eliminate', 'pornography', 'templates', 'template', 'exclusion', 'man', 'child']","['Tracking ""Chainsaw Man"" ""asa mitaka""\r\nEliminate child pornography.\r\nYou can use 5 hashtags.\r\nExcluding Japanese and Portuguese.\r\nHashtags in all languages.\r\nRemenber Posts\r\n\r\nチェンソーマン 海外反応集\r\nChainsaw Man Overseas Reaction Collection\r\nhttps://www.graze.social/feeds/9816', 'AND tracking\r\n"" Chainsaw Man | チェンソーマン | \r\nchainsawman ""\r\n&\r\n"" cosplay | コスプレ ""\r\nEliminate child pornography\r\nPosts with too many hashtags will not be collected. \r\n児童ポルノ・不穏当な発言は\r\n管理者によって削除される場合があります。', 'Tags Tracking "" #チェンソーマン or #chainsawman  ""\r\n#Chainsaw Man collection\r\n\r\nEliminate child pornography\r\n\r\nハッシュタグは2個以内を表示します。\r\n児童ポルノは排除します。\r\n業者さんも悪質なら排除します。']",14,1.08
386,13,386_papers_philosophy_primary_nonacademic,"['papers', 'philosophy', 'primary', 'nonacademic', 'pe', 'philcfp', 'philconf', 'philjob', 'philevent', 'philannounce']","['A curated Bluesky feed collecting posts that announce Calls for Papers, Submissions, Abstracts, Contributions, or Participation — and links to opportunities across conferences, journals, and academic projects.\n\n🚨May contain non-academic callouts', 'Philosophy Journals and Papers on Bsky\n    \n    Logic:\n    - Posts from philosophy journal accounts!\n    - Posts linking to PhilPapers!\n    - Philosophers talking about their new papers!\n    - Ranked by HackerNews 🕶️\n\nPlease like the feed if you like the feed', 'A feed for academic philosophy news and announcements on Bluesky. Tag posts with #PhilAnnounce, #PhilEvent, #PhilCFP, #PhilCFA, #PhilConf, #PhilPaper, #PhilJob, etc. to include them in this feed. Includes posts from 250+ philosophy-related organisations, publications and groups.']",160,12.31
387,13,387_lewd_lewds_furryrelated_marketplace,"['lewd', 'lewds', 'furryrelated', 'marketplace', 'sharks', 'goods', 'naughty', 'furry', 'sharkthemed', 'drawers']","['Marketplace for furry-related goods and services', 'Marketplace for furry-related goods and services', '🔞 Naughty naughty~ This is made of my ⚠️ IRL lewds, so be warned!\nAll are marked with #fasun18\n\nIcon photo belongs to me']",146,11.23
388,13,388_ionchannel_bb25_gunpla_avenday,"['ionchannel', 'bb25', 'gunpla', 'avenday', 'groundhopping', 'floodflightlovers', 'aprilspins', 'channelomics', 'ironwbskysocial', 'groundhoppers']","['A feed focused on the SeeStar S30 and S50 models.', 'A feed for groundhoppers, stadiumfetishists and floodflightlovers\r\n\r\nThis feed includes posts (max 7 days retention) with all kind of groundhopping related tags and words. \r\n\r\nQuestions? Drop me a message: @ironw.bsky.social\n\nBlueskyFeedCreator.com', ""An #Ionchannel algorithmic feed. Just follow Channelomics and then any post you make including #Ionchannel should automatically appear in the feed!\nMay take a little while to update so feel free to ping us if it hasn't worked!""]",98,7.54
389,13,389_jobs_memberblastsbskysocial_gamebananacomstudios37481_jobsboard,"['jobs', 'memberblastsbskysocial', 'gamebananacomstudios37481', 'jobsboard', 'gb', 'boll', 'concoctions', 'blueskycurated', 'socialpulse', 'rollfortiktokwater']","['🌟 Community Guidelines 🌟\n\nRelevant Content Only: Keep it about social media! Irrelevant posts will be removed.\n\nNo Business Promotion: #Socialpulse is for sharing knowledge, not ads.\n\nEducational Posts Welcome: Share tips, trends, and strategies to help the community!', 'This feed is to document the ongoing series #RollForTiktokWater by @memberblasts.bsky.social - rolling for random drink packet and flavor syrup concoctions!\n\nBlueskyFeedCreator.com', 'OK, just admit it, you are either openly or secretly addicted to this TLC show. \nWill the couples survive or will the relationships end? What are they fighting about now? Enjoy the chatter. // Made at BlueskyFeeds.com']",63,4.85
390,13,390_barcelona_madrid_fc_standings,"['barcelona', 'madrid', 'fc', 'standings', 'provides', 'culs', 'blancos', 'fcbfemeni', 'blaugrana', 'baras']","['Latest posts and discussions about barcelona content.', 'Latest posts and discussions about FC Barcelona.', 'Posts related to FC Barcelona\n\nIf you like Barcelona Football Club feed, please LIKE it ♥️']",67,5.15
391,13,391_quantum_computing_circuit_dwave,"['quantum', 'computing', 'circuit', 'dwave', 'econometrics', 'qed', 'qubt', 'relalted', 'electrodynamics', 'photons']","['Any mention of quantum, last 3 hours', 'This feed covers content relalted to circuit quantum electrodynamics, or short circuit QED, a field of research that makes use of the strong coupling of microwave photons to qubits for research in quantum optics and for applications in quantum computing.', 'Latest news on Quantum Computing']",42,3.23
392,13,392_youtube_videos_tells_someone,"['youtube', 'videos', 'tells', 'someone', 'great', 'exculsive', 'forwardparty', 'homepagesubscription', 'youtubes', 'rachelmaddow']","['This feed shows YouTube videos with #food, #cooking and #sweets. It would be great if someone tells me how to include videos other than YouTube.', 'This feed shows YouTube videos with the text ""music"" or ""song"". It would be great if someone tells me how to include videos other than YouTube', 'This feed shows YouTube videos with #travel. It would be great if someone tells me how to include videos other than YouTube.']",246,18.92
393,12,393_artists_genrated_dope_35,"['artists', 'genrated', 'dope', '35', 'gram', 'highly', 'unity', 'actually', 'seeing', 'works']","['artists i like', 'artists i follow', 'A highly personal collection of artists I follow. Actually works maybe 35% of the time.']",3,0.25
394,12,394_selfies_pareidolia_bugs_dialed,"['selfies', 'pareidolia', 'bugs', 'dialed', 'clique', 'giggleland', 'grehounds', 'pareidoodle', 'modest', 'facesinplaces']","['This feed collects examples of pareidolia, the tendency to see faces in random patterns. Will capture #Pareidolia, #ThingsWithFaces, #Pareidoodle, and #FacesinPlaces\n\nBlueskyFeedCreator.com', 'No hashtags needed, but encouraged \n\nWill match all variations of clique art, Tyler Joseph, Josh dun, twenty one pilots .\n\nold tour photos should show up.\n\nDM me with any issues I could fix.\n\n**As I make this more dialed in, sometimes it breaks, bear with me.', ""this is just my media tab for finding dog pics for those who like checking up on my rescue dogs smallrusty and mika (and my ex's dog zara she kinda left behind with me). though it'll have all my media so hey ladies who think I'm hot - i'm single and own a modest home and have stable employment""]",139,11.58
395,12,395_iiii_donate_cridland_hfler,"['iiii', 'donate', 'cridland', 'hfler', 'httpsbskyappprofileaquageobskysocial', 'httpswwwflickrcomphotosjamescridland7813572370', 'austrobluesky', 'basiert', 'james', 'auf']","['A Feed for Black Naturists and Nudists  Use hashtag #AddtoBlackNakedSky for approval Use the Hashtags #BlackNakedSky #BlackNudistsSky when posting. NON SEXUAL NUDITY ALL GENDERS WELCOME\n\nBlueskyFeedCreator.com\nDonate: https://blueskyfeedcreator.com/p/yannicktaylor.bsky.social/BlackNudists#donate', 'Austro-Bluesky III\nbasiert auf Starter Pack von Sarah Höfler \n@aquageo.bsky.social\nhttps://bsky.app/profile/aquageo.bsky.social\n\nAvatar image by James Cridland\nhttps://www.flickr.com/photos/jamescridland/7813572370', 'Austro-Bluesky I-III (ohne Antworten)\n\nbasiert auf Starter Packs I-III von Sarah Höfler\nhttps://bsky.app/profile/aquageo.bsky.social\n\nAvatar image by James Cridland\nhttps://www.flickr.com/photos/jamescridland/7813572370']",216,18.0
396,12,396_edits_fairy_paintings_manipulations,"['edits', 'fairy', 'paintings', 'manipulations', 'moodboards', 'lovewinart', 'mygoave', 'commsgifts', 'collection', 'manips']","['Place to go to see my artwork only! Since I doubt I will make a secondary account anytime soon.\nposts will be marked with ""#lovewinart""', 'Use this space to post fairy themed art by you, all mediums welcome! Use the phrases ""fairy art"" or ""fairy art by me"".', 'My image edits or manipulations. Includes image edits, Photoshop edits, and classic art edits (from challenges).\n\nFeel free to use my manips in moodboards, credit appreciated!']",21,1.75
397,12,397_kiiowa_bicho_pokemon_claims,"['kiiowa', 'bicho', 'pokemon', 'claims', 'quest', 'dnd', 'antagonists', 'commisoned', 'yumecentric', 'yumeworks']","['🐛🐝🦋🐞\r\nFeed de pokemon tipo bicho\r\nbug type pokemon feed\r\n\r\n#bicho #anime #tcgpokemon #pokemontcg #scarletviolet #pokemongo #pokemonunite #bugtype', 'An automatic feed for all things relating to the lime blood fantroll Kiiowa! \r\nTag your posts and artwork of them with the name kiiowa or #kiiowa to show up in this feed!\r\nKiiowa belongs to @cloun.bsky.social\n\nBlueskyFeedCreator.com', ""Pokemon DnD: Champion's Quest\nA DnD campaign where players will enter a Region that only allows entry to Champion Class Trainers, those who've conquered or competed in the Pokemon League or Grand Festival.\n\nLore, Map Designs, Face Claims, Item Claims and perhaps even commisoned art will be here.""]",8,0.67
398,12,398_whendle_riveapp_nafoarticle5_mineimator,"['whendle', 'riveapp', 'nafoarticle5', 'mineimator', 'motionui', 'millican', 'joinin', 'makeuifunagain', 'randime', 'repostsfrom']","['A feed of all posts—including replies, but not re-posts—from the last 7 days, most recent first, containing hashtags starting with #OnePlace (e.g. #OnePlaceStudy, #OnePlaceWednesday etc) or #OPSConf (e.g. #OPSConf2024)', 'An annual tradition on Christmas Day, started by Sarah Millican over a decade ago on Twitter. Use hashtag #JoinIn to take part in the virtual party & follow this Feed to keep up on the hashtag!', ""Pulls from @rive.app & Rive's official member list.\nTags: #Rive, #RiveApp, #RiveFiles, #MotionUI, #MakeUIfunAgain, #RiveUI, #InteractiveMotion\n\nHosted by SkyFeed""]",94,7.83
399,12,399_swimming_fishyfeb_aquaponics_fishkeeping,"['swimming', 'fishyfeb', 'aquaponics', 'fishkeeping', 'watersports', 'fish', 'slimemold', 'datascience', 'browsingdiscussing', 'thesplashzone']","['A feed that picks up posts related to cold water swimming / winter swimming / ice swimming! ❄️\n\nUnrelated results may also crop up.', 'A photo feed that aggregates posts with hashtags related to all things growing on the forest floor. Some examples are #Moss #Lichen #SlimeMold #FungiFriends #FungiFriday #HotStickSaturday and of course #ForestFloor\r\nThe feed is slightly moderated to exclude inappropriate content.', 'This is the official feed for #FishyFeb! All art and photography is welcome! Promots are open for your interpretation. Please keep things fish or aquatic themed.\n\nUse the tags #FishyFeb or #FishyFeb2025 to enter the feed. Remember to put alt text on your images! Have fun! 🐟']",115,9.58
400,12,400_afm_edleadershipchat_speculative_leaders,"['afm', 'edleadershipchat', 'speculative', 'leaders', 'freelancers', 'school', 'customerexperience', 'customerservice', 'customersatisfaction', 'sltchat']","['speculative biology/ spec bio feed\n\nincludes tags that are:\nspeculative evolution, speculative biology, specbio, specevo, more!\n\nSfw ONLY', 'This is a curated feed on Atomic Force Microscopy (AFM) related research.\n\nRun by @MicrotoPico. All contributors can post here using #AFM or 🔬. Let me know, if you would like to be added.', '#EdLeadershipchat is for teacher leaders, school leaders, and district leaders to engage in chats and learn from one another. We would like to start the #edleadershipchat soon!']",455,37.92
401,12,401_arcs_museum_skymuseum_gallery,"['arcs', 'museum', 'skymuseum', 'gallery', 'sky', 'randomly', 'misc', 'sorted', 'media', 'accountsreposts']","['Arcs SkyMuseum Gallery Feed:\nArcs Artist List Source', 'Arcs Sky Museum App Gallery Feed D:\nMedia Posts from Sources (Sorted Randomly)', 'Arcs Sky Museum App Gallery Feed A:\nOwn Media Posts (Sorted Most Recent)']",0,0.0
402,12,402_goetia_andrealphus_nihon_sapitocarbys,"['goetia', 'andrealphus', 'nihon', 'sapitocarbys', 'pokejinka', 'raidou', 'paimon', 'octavia', 'shinbaku', 'siljoy']","[""Collective Feed for posts related to 'Signed, Sealed, and Delivered', a Zhongchi fanfiction series."", 'Anything involving Devil Summoner, Soul Hackers 1 & Raidou!', ""A feed for the Ars Goetia from Helluva Boss, including Stolas, Octavia, Stella, Andrealphus, Vassago, Paimon, and Goetia OC's. NSFW is NOT filtered out, so 18+ only please.""]",116,9.67
403,12,403_dippys_animatics_tesdraws_audri,"['dippys', 'animatics', 'tesdraws', 'audri', 'finished', 'wips', 'brushfeather', 'animation', 'sketches', 'dabihawks']","[""Dippy's animations from WIPs, shitposts, finished, ect"", 'A collection of sketches, illustrations, wips, animatics, comics, and more from the insane mine of Audri!', 'WIP - bored with what I am seeing... looking to get inspired.\n\nAt the moment. It\'s just basic. anything with the word ""painting"" in it. But I will be learning how to hone it to provide whatever it is I am looking for.']",12,1.0
404,12,404_combination_hyperspecific_stickers_itself,"['combination', 'hyperspecific', 'stickers', 'itself', 'literally', 'mhcottagecoremittens', 'lmbexhibition', 'rapper', 'mhgardenpartymittens', 'had']","['My Positive Messages for Today Feed of stickers from my positive stickers grab bag.', 'This is a hyperspecific feed for me, its literally just the top posts in my combination feed which in and of itself is a combination of all my other feeds. If you wanna use it, feel free. But I mostly made this so I had a feed to scroll in.', 'This is a hyperspecific feed for me, its literally just a randomized version of my combination feed which in and of itself is a combination of all my other feeds. If you wanna use it, feel free. But I mostly made this so I had a feed to scroll in.']",242,20.17
405,12,405_ms365_microsoft_dataset_azure,"['ms365', 'microsoft', 'dataset', 'azure', 'windows', 'analytics', 'seo', 'requests', 'microsoft365', 'mieexpert']","['Your questions, id requests, cool finds, and love of All things mushrooms. If submitting ID requests, PLEASE INCLUDE - pics of cap, underside, stem, and include where it was discovered, what it was growing on, and what it smells like. Use #mushroomforaging to join feed', 'Sammelt alles zu MS365 / catches everything about MS365 #OneNote #MSTeams #MicrosoftEDU #MIEEXPERT', 'Everything about Microsoft, Azure, Microsoft 365 and Windows. Also filtering hastags : #Microsoft, #Azure, #Windows11, #Windows, #Microsoft365 and #M365']",102,8.5
406,12,406_zhan_xiao_trancium_untamed,"['zhan', 'xiao', 'trancium', 'untamed', 'singer', 'named', 'actor', 'gundamgunpla', 'fategrand', 'douji']","[""LOOK UPON OUR GREAT JING, breathtaking and as prosperous as a dream -- knowing full well that the greater one such thing's brilliance, the deeper and more unpredictable its shadow.\n\n==\nhttps://songbaizhimao.carrd.co/\n#SBZM\n\nOC zine series | ongoing!\ntang dynasty, gong'an, abo"", 'a feed for actor and singer xiao zhan 👍', 'A feed for wonderful actor & singer, Xiao Zhan 肖战, also known as Sean\xa0Xiao.\nAny post (text, image alt text, link) with xiao zhan or/ and 肖战 (not case sensitive) in it will appear here. 🥰']",114,9.5
407,11,407_hyper_10000_max_22,"['hyper', '10000', 'max', '22', 'saves', 'hn', 'sort', 'sortby', 'furry', 'postsimages']","['This Feed Contents ""ALL"" Hyper Art [Incl.of scat,fat,feet,preg,etc] \nNO IRL and NO AI. \nPrioritizes Furry. \n\nv2.2.10 01/01/2026 (Updated Desc.) \n\nThis feed uses mutliple regex to find and filter posts/images with the word ""hyper"", so not just tags! \n\nSortBy: HN Ranking [2.2] \nSave Posts [Max 10,000]', 'v0.0.8 (Updated Input Range)\nWork In Progress Feed.\n\nA Feed For Furry Taurs that are Hyper.\n\nSaves Posts [Max 10,000]\nHN Sort [2.2]', 'This Feed Contents (Furry) Hyper Art with common hyper. \nNO IRL and NO AI. \nPrioritizes Furry. \n\nv2.1.19 01/01/2026 (Updated Desc.) \n\nThis feed uses mutliple regex to find posts/images with the word ""hyper"", so not just tags! \n\nSortBy: HN Ranking [2.2] \nSaves Posts [Max 10,000]']",118,10.73
408,11,408_drupal_aiengineering_agregates_digitialdistrict,"['drupal', 'aiengineering', 'agregates', 'digitialdistrict', 'codewhisperer', 'bsdistrict', 'cerebras', 'blueskydistrict', '20songsbyyear', 'codellama']","['Non-official worldwide Drupal feed. Agregates all posts in any language which talks about Drupal.\n\n➡️ Simply reacts on the keyword ""Drupal"".', 'Posts tagged with #tabletopterrain, #terrainbuild, #tabletopscenery, #terraincraft, #terrain, #wargameterrain, #mordheimterrain, #dndterrain or #foammodeling from the last 7 days', 'Recent post of the past 3 days based on the following hashtags: cline, roocode, openrouter, cursor, windsurf, requesty, ai-engineering, cerebras, sambanova, bolt, loveable, v0, replit, sagemaker, codellama, codewhisperer, supermaven, sourcegraph']",86,7.82
409,11,409_boardsrip_surfacing_skate_ton,"['boardsrip', 'surfacing', 'skate', 'ton', 'crap', 'stepping', 'surf', 'stone', 'surfing', 'unrelated']","['🛹 SKATE 🛹\r\nSurfacing some nice skateboarding posts, and a ton of unrelated crap!\r\nA stepping stone on the way to better feeds.\r\nAlso check out the boards.rip SURF feed', '🏄\u200d♂️ SURF VIDEO 🏄\u200d♀️\r\nSurfacing some nice surfing videos, and a ton of unrelated crap!\r\nA stepping stone on the way to better feeds.\r\nAlso check out the boards.rip SKATE feed', '🏄\u200d♂️ SURF 🏄\u200d♀️\r\nSurfacing some nice surfing posts, and a ton of unrelated crap!\r\nA stepping stone on the way to better feeds.\r\nAlso check out the boards.rip SKATE feed']",60,5.45
410,11,410_stleonardsonsea_hastings_uniofexeteresi_exeteresi,"['stleonardsonsea', 'hastings', 'uniofexeteresi', 'exeteresi', 'exetergsesexetergsesexetergsesexetergsesbskysocial', 'hastingsuk', 'ukpaedsky', 'ukscouts', 'choosepaeds', 'ukpaedbsky']","['A feed gathering posts on ExeterESI | #ExeterESI |Environment Sustainability Institute |Uniofexeteresi | #Uniofexeteresi| @uniofexeteresi.bsky.social', 'BlueSky posts exposing threats to the Amazon rainforest and her inhabitants, while highlighting the efforts of Indigenous Peoples and local communities to defend their ancestral territories and environments to the benefit of all humanity', 'A 7-day feed on all things in Hastings and St Leonards on sea (UK).\n\nUse #hastings, #hastingsuk, #stleonards, #stleonardsonsea, #stleonards-on-sea, #st-leonards-on-sea to include a post.\n\nCreated on Skyfeed.app']",252,22.91
411,11,411_yapping_art_my_all,"['yapping', 'art', 'my', 'all', 'without', 'the', '', '', '', '']","['all my art!', 'all my art!', 'All my art without all the yapping!']",16,1.45
